source group,target group,source,target,sign,value,certainty,description,reference
Primary driver,Secondary driver,% Groundwater,Low Nutrients,positive,0.5,well established,Groundwater generally is low in N/P but can have high concentrations of base cations such as calcium and magnesium.,(Rydin & Jeglum 2013)
Primary driver,Secondary driver,% Groundwater,High pH,undetermined,1,well established,"pH of groundwater depends on bedrock and pH of precipitation. On limestone, pH can be as high as 8.5",(Rydin & Jeglum 2013)
Primary driver,Secondary driver,% Precipitation,Temporary drought,positive,0.5,well established,"Due to weather variability, habitats that depend on precipitation as the main watersource are also occasionally succeptible to dry periods",(Mitsch et al. 2009)
Primary driver,Secondary driver,% Precipitation,Low pH,positive,0.5,well established,Water from precipitation generally has very low buffering capacity and thus is prone to acidifying processes,(Rydin & Jeglum 2013)
Primary driver,Secondary driver,% Precipitation,Low Nutrients,positive,1,well established,Precipitation is low in phosphate and usually nitrogen (note that nitrogen deposition can be substantial in polluted areas).,(Verhoeven et al. 2006)
Primary driver,Secondary driver,% Surface inflow,High Nutrients,positive,1,well established,"As surface flow generally depends on accumulated waterflow over a larger watershed scale, nutrient concentrations can be significant.",(Verhoeven et al. 2006)
Primary driver,Secondary driver,% Surface inflow,High Wetness,positive,1,well established,Surface fed habitats can occasionaly become flooded or severely waterlogged.,(Mitsch et al. 2009)
Primary driver,Secondary driver,% Surface inflow,Temporary drought,positive,0.5,well established,"Where surface flow depends on precipitation, periods of low rainfall can induce conditions of drought.",(Mitsch et al. 2009)
Primary driver,Secondary driver,WT depth,High Wetness,negative,1,well established,Local (micro-) topography determines depth to water table.,(Rydin & Jeglum 2013)
Primary driver,Secondary driver,WT depth,Temporary drought,positive,1,well established,Local (micro-) topography determines depth to water table.,(Rydin & Jeglum 2013)
PrimProc,SecProc,Acidification,Peat accumulation,positive,1,well established,"Acidification slows decomposition rates, leading to build up of peat and further detachment from groundwater levels, lowering pH further in a positive feedback loop",(Soudzilovskaja et al. 2010)
PrimProc,SecProc,Acidification,Denitrification,negative,0.5,well established,Low pH can hamper microbial process and cause N2O emission,(Verhoeven et al. 2006)
PrimProc,SecProc,Decomposition,Denitrification,positive,1,well established,High rates of decomposition increase quantity and quality of C input into microbial metabolism,(McGill et al. 2010; Sutton-Grier et al. 2011)
PrimProc,SecProc,Decomposition,Methane emission,positive,0.5,well established,High rates of decomposition increase quantity and quality of C input into microbial metabolism,(Sutton-Grier and Megonigal 2011)
PrimProc,SecProc,Decomposition,Peat accumulation,negative,1,well established,High decomposition rate reduces carbon in organic soil thus slowing peat accumulation,(Rydin & Jeglum 2013)
PrimProc,SecProc,Litter,Water flow storage,positive,1,well established,Higher soil organic matter content can increase soil water holding capacity. Higher litter cover promotes infiltration.,(Rawls et al. 2003)
PrimProc,SecProc,Litter,Water flow velocity,negative,0.5,well established,Standing dead vegetation and large amounts of litter slow down surface flow and facilitate infiltration,(Tabacchi et al. 2000)
PrimProc,SecProc,Litter,Denitrification,positive,1,well established,High rates of litter production means high quantity and quality of C input for microbial metabolism,"(McGill et al. 2010; Sutton-Grier et al. 2011, 2013; Bardgett et al. 2014)"
PrimProc,SecProc,Litter,Methane emission,positive,0.5,well established,High biomass and litter production means high quantity of C input for microbial metabolism,(Sutton-Grier and Megonigal 2011)
PrimProc,SecProc,Litter,Peat accumulation,positive,1,well established,High litter production increases influx of organic material to the soil,(Bardgett et al. 2014)
PrimProc,SecProc,Litter,Sedimentation,positive,0.5,well established,Large amounts of litter slow down surface flow and increase sedimentation rates,(Tabacchi et al. 2000)
PrimProc,SecProc,Redox potential,Methane emission,negative,1,well established,Oxidation of methane in aerated soil layers may offset methane production and reduce emissions; occurrence of competing electron acceptors decreases or inhibits methanogenesis and increases methane oxidation,(Bouchard et al. 2007; Sutton-Grier and Megonigal 2011)
PrimProc,SecProc,Redox potential,Denitrification,negative,0.5,well established,Soil oxygenation inhibits anaerobic denitrification,(Sutton-Grier et al. 2013)
PrimProc,SecProc,Redox potential,Peat accumulation,negative,0.5,well established,Soil oxygenation of otherwise saturated soils enhances heterotophic respiration and rates of decomposition,(Davidson & Janssens 2006)
PrimProc,SecProc,SWHC,Water flow storage,positive,1,well established,Water holding capacity of soil increases the potential for temporary storage of water in the soil given that the soil is not already water saturated,(Maltby & Barker 2009)
PrimProc,SecProc,SWHC,Peat accumulation,positive,1,well established,Waterlogging and resulting anoxia slow down decomposition and lead to peat build up,(Limpens et al. 2008)
PrimProc,SecProc,Vegetation rigidity,Water flow velocity,negative,1,well established,"Large aboveground biomass, high structural diversity, and high shoot density slow down surface water flow","(Brauman et al. 2007, Nepf 2012)"
PrimProc,SecProc,Vegetation rigidity,Sedimentation,positive,1,well established,Large aboveground biomass and high shoot density act as a filter intercepting particles and encouraging sedimentation,(Tabacci et al. 2000; Nardin and Edmonds 2014)
SecProc,ES,Denitrification,Nutrient retention,positive,1,well established,Denitrification removes N from system and releases it to atmosphere as N2,(Verhoeven et al. 2006)
SecProc,ES,Methane emission,GHG regulation,negative,1,well established,Wetlands can be significant sources of methane emissions to the atmosphere,(Whiting & Chanton 1993)
